task,startTime,cohortIds,executionTime,parent
getCdmDataSourceInformation,2024-02-02T13:45:55Z,,0.0207798480987549,executeDiagnostics
observationPeriodDateRange,2024-02-02T13:45:55Z,,0.00676894187927246,executeDiagnostics
getInclusionStats,2024-02-02T13:45:55Z,,0.0380198955535889,executeDiagnostics
getInclusionStatsCohortGenerator,2024-02-02T13:45:55Z,,0.0606100559234619,getInclusionStats
getInclusionStats,2024-02-02T13:45:55Z,,0.15194582939148,executeDiagnostics
instantiateUniqueConceptSets,2024-02-02T13:45:55Z,,0.0261938571929932,runConceptSetDiagnostics
runIncludedSourceConcepts,2024-02-02T13:45:55Z,,0.0781071186065674,runConceptSetDiagnostics
orphanConcepts,2024-02-02T13:45:56Z,concept_set- Gastrointestinal hemorrhage ConceptSet,0.0458319187164307,runConceptSetDiagnostics
orphanConcepts,2024-02-02T13:45:56Z,concept_set- Gastrointestinal hemorrhage ConceptSet,0.0391731262207031,runConceptSetDiagnostics
orphanConcepts,2024-02-02T13:45:57Z,concept_set- Gastrointestinal hemorrhage ConceptSet,0.198519945144653,runConceptSetDiagnostics
allOrphanConcepts,2024-02-02T13:45:56Z,,0.545457124710083,runConceptSetDiagnostics
runConceptSetDiagnostics,2024-02-02T13:45:55Z,,1.93280506134033,executeDiagnostics
runCohortTimeSeriesDiagnostics,2024-02-02T13:45:57Z,14909;17492;17493,5.09531807899475,executeTimeSeriesDiagnostics
executeTimeSeriesDiagnostics,2024-02-02T13:45:57Z,,24.971519947052,executeDiagnostics
executeVisitContextDiagnostics,2024-02-02T13:46:22Z,,0.0599339008331299,executeDiagnostics
getIncidenceRate,2024-02-02T13:46:22Z,14909,0.156041145324707,computeIncidenceRates
getIncidenceRate,2024-02-02T13:46:22Z,17492,0.152599811553955,computeIncidenceRates
getIncidenceRate,2024-02-02T13:46:22Z,17493,0.14767599105835,computeIncidenceRates
computeIncidenceRates,2024-02-02T13:46:22Z,,1.01462006568909,executeDiagnostics
runCohortRelationshipDiagnostics,2024-02-02T13:46:23Z,14909;17492;17493;17492;17493;14909,1.57235383987427,executeCohortRelationshipDiagnostics
executeCohortRelationshipDiagnostics,2024-02-02T13:46:23Z,,1.64862990379333,executeDiagnostics
getDbCovariateData,2024-02-02T13:46:25Z,17492;17493;14909,1.27592992782593,getCohortCharacteristics
executeCohortCharacterization,2024-02-02T13:46:25Z,,3.93830394744873,executeDiagnostics
exportConceptInformation,2024-02-02T13:46:29Z,,0.364320039749146,executeDiagnostics
DeleteConceptIdTable,2024-02-02T13:46:29Z,,0.00725817680358887,executeDiagnostics
executeDiagnostics,2024-02-02T13:45:54Z,,34.576712846756,
