cohort_count,person_years,gender,age_group,calendar_year,incidence_rate,cohort_id,database_id
479,149620.73100616,,,,3.2014280158829007,14909,Eunomia
242,76279.66872005464,Female,,,3.1725360644674105,14909,Eunomia
237,73341.06228610536,Male,,,3.231477600848716,14909,Eunomia
0,25585.7029431896,,0-9,,0,14909,Eunomia
0,26939.901437371682,,10-19,,0,14909,Eunomia
0,253.01574264202603,,100-109,,0,14909,Eunomia
0,-5,,110-119,,0,14909,Eunomia
0,26940.098562628344,,20-29,,0,14909,Eunomia
275,25751.761806981518,,30-39,,10.678881004772466,14909,Eunomia
204,18936.262833675566,,40-49,,10.772981014881868,14909,Eunomia
0,12736.887063655031,,50-59,,0,14909,Eunomia
0,7115.00889801506,,60-69,,0,14909,Eunomia
0,3398.2614647501714,,70-79,,0,14909,Eunomia
0,1346.0095824777547,,80-89,,0,14909,Eunomia
0,614.527036276523,,90-99,,0,14909,Eunomia
0,13038.68856947297,Female,0-9,,0,14909,Eunomia
0,13729.916495550993,Female,10-19,,0,14909,Eunomia
0,151.9397672826831,Female,100-109,,0,14909,Eunomia
0,-5,Female,110-119,,0,14909,Eunomia
0,13730.083504449012,Female,20-29,,0,14909,Eunomia
142,13110.102669404516,Female,30-39,,10.831341567704893,14909,Eunomia
100,9558.819986310747,Female,40-49,,10.46154233924383,14909,Eunomia
0,6410.442162902122,Female,50-59,,0,14909,Eunomia
0,3635.5701574264203,Female,60-69,,0,14909,Eunomia
0,1817.2046543463382,Female,70-79,,0,14909,Eunomia
0,752.621492128679,Female,80-89,,0,14909,Eunomia
0,340.98562628336754,Female,90-99,,0,14909,Eunomia
0,12547.014373716625,Male,0-9,,0,14909,Eunomia
0,13209.984941820667,Male,10-19,,0,14909,Eunomia
0,101.07597535934292,Male,100-109,,0,14909,Eunomia
0,13210.015058179322,Male,20-29,,0,14909,Eunomia
133,12641.659137577,Male,30-39,,10.520770933038447,14909,Eunomia
104,9377.442847364819,Male,40-49,,11.09044349219631,14909,Eunomia
0,6326.444900752907,Male,50-59,,0,14909,Eunomia
0,3479.438740588638,Male,60-69,,0,14909,Eunomia
0,1581.0568104038327,Male,70-79,,0,14909,Eunomia
0,593.3880903490759,Male,80-89,,0,14909,Eunomia
0,273.54140999315536,Male,90-99,,0,14909,Eunomia
0,-5,,,1908,0,14909,Eunomia
0,11.832991101984941,,,1909,0,14909,Eunomia
0,26.23134839151266,,,1910,0,14909,Eunomia
0,34.677618069815196,,,1911,0,14909,Eunomia
0,45.50308008213552,,,1912,0,14909,Eunomia
0,54.43668720054757,,,1913,0,14909,Eunomia
0,62.143737166324435,,,1914,0,14909,Eunomia
0,68.95277207392198,,,1915,0,14909,Eunomia
0,74.17932922655716,,,1916,0,14909,Eunomia
0,80.32306639288159,,,1917,0,14909,Eunomia
0,85.40177960301165,,,1918,0,14909,Eunomia
0,90.14373716632443,,,1919,0,14909,Eunomia
0,107.82203969883642,,,1920,0,14909,Eunomia
0,116,,,1921,0,14909,Eunomia
0,131.60301163586587,,,1922,0,14909,Eunomia
0,140.82135523613965,,,1923,0,14909,Eunomia
0,147.98631074606433,,,1924,0,14909,Eunomia
0,155.34839151266257,,,1925,0,14909,Eunomia
0,159.0280629705681,,,1926,0,14909,Eunomia
0,167.72895277207394,,,1927,0,14909,Eunomia
0,172.15058179329228,,,1928,0,14909,Eunomia
0,174.86926762491441,,,1929,0,14909,Eunomia
0,183.04175222450374,,,1930,0,14909,Eunomia
0,192.2217659137577,,,1931,0,14909,Eunomia
0,194.74332648870634,,,1932,0,14909,Eunomia
0,201.99589322381928,,,1933,0,14909,Eunomia
0,206.80082135523614,,,1934,0,14909,Eunomia
0,227.03901437371664,,,1935,0,14909,Eunomia
0,253.58247775496235,,,1936,0,14909,Eunomia
0,276.15058179329225,,,1937,0,14909,Eunomia
0,296.1533196440794,,,1938,0,14909,Eunomia
0,323.15947980835045,,,1939,0,14909,Eunomia
0,352.1779603011636,,,1940,0,14909,Eunomia
0,373.3826146475018,,,1941,0,14909,Eunomia
0,394.5379876796714,,,1942,0,14909,Eunomia
0,419.2087611225188,,,1943,0,14909,Eunomia
-5,453.40451745379875,,,1944,-11.02768015651607,14909,Eunomia
-5,485.53593429158104,,,1945,-10.297898974862132,14909,Eunomia
0,525.3963039014374,,,1946,0,14909,Eunomia
-5,561.1115674195756,,,1947,-8.910883842573165,14909,Eunomia
-5,594.173853524983,,,1948,-8.415045479260167,14909,Eunomia
-5,627.4113620807666,,,1949,-7.969253192065002,14909,Eunomia
-5,667.5373032169747,,,1950,-7.490218113510897,14909,Eunomia
0,732.1615331964409,,,1951,0,14909,Eunomia
0,793.9904175222449,,,1952,0,14909,Eunomia
-5,838.6365503080082,,,1953,-5.962058293504662,14909,Eunomia
0,889.0458590006843,,,1954,0,14909,Eunomia
-5,950.3490759753593,,,1955,-5.261224666176916,14909,Eunomia
-5,1018.628336755647,,,1956,-4.908561660404134,14909,Eunomia
-5,1070.15742642026,,,1957,-4.672209785737128,14909,Eunomia
5,1120.7145790554416,,,1958,4.461439240144524,14909,Eunomia
-5,1189.3059548254619,,,1959,-4.204132653765937,14909,Eunomia
-5,1273.4784394250516,,,1960,-3.9262541439314775,14909,Eunomia
-5,1345.4729637234768,,,1961,-3.716165344685147,14909,Eunomia
-5,1410.839151266256,,,1962,-3.543990110787896,14909,Eunomia
-5,1478.945927446954,,,1963,-3.3807862121310293,14909,Eunomia
-5,1560.5037645448324,,,1964,-3.2040935200553005,14909,Eunomia
-5,1621.6290212183437,,,1965,-3.0833192638865436,14909,Eunomia
-5,1691.1238877481176,,,1966,-2.9566136675284898,14909,Eunomia
0,1759.8001368925395,,,1967,0,14909,Eunomia
-5,1830.8966461327857,,,1968,-2.7309023753803823,14909,Eunomia
-5,1899.1786447638606,,,1969,-2.632717050491945,14909,Eunomia
-5,1964.8843258042439,,,1970,-2.5446790604090435,14909,Eunomia
-5,2036.955509924709,,,1971,-2.454643695278751,14909,Eunomia
-5,2126.5626283367556,,,1972,-2.3512122019705766,14909,Eunomia
-5,2196.5776865160847,,,1973,-2.276268228842079,14909,Eunomia
-5,2251.195071868583,,,1974,-2.221042530912169,14909,Eunomia
7,2304.6516084873374,,,1975,3.037335436827462,14909,Eunomia
-5,2354.4366872005476,,,1976,-2.1236502247784195,14909,Eunomia
-5,2392.2628336755647,,,1977,-2.0900713456797755,14909,Eunomia
-5,2444.5612594113622,,,1978,-2.0453568020643402,14909,Eunomia
-5,2478.7049965776864,,,1979,-2.0171823621219267,14909,Eunomia
8,2523.0171115674193,,,1980,3.1708068737710686,14909,Eunomia
5,2542.261464750171,,,1981,1.9667528573782445,14909,Eunomia
7,2561.733059548255,,,1982,2.732525145002581,14909,Eunomia
-5,2577.771389459274,,,1983,-1.9396599793315359,14909,Eunomia
7,2592.2162902121836,,,1984,2.7003919489399633,14909,Eunomia
10,2583.1074606433954,,,1985,3.871306228006952,14909,Eunomia
6,2576.4134154688572,,,1986,2.328818800575961,14909,Eunomia
9,2570.505133470226,,,1987,3.50125735319962,14909,Eunomia
6,2568.3805612594115,,,1988,2.3361024026197605,14909,Eunomia
6,2554.3572895277207,,,1989,2.348927467820819,14909,Eunomia
9,2544.848733744011,,,1990,3.5365559770458717,14909,Eunomia
6,2537.25941136208,,,1991,2.364756229943005,14909,Eunomia
11,2530.6146475017113,,,1992,4.346770066655343,14909,Eunomia
5,2513.7275838466808,,,1993,1.9890779065043525,14909,Eunomia
9,2500.9856262833678,,,1994,3.5985812574919125,14909,Eunomia
